episode,time_penalty,detection_reward,miss_penalty,overlap_penalty,coverage_reward,episode_bonus
108,-50.0,278.0,-30.0,-2.0,22.0,20.0
109,-50.0,60.0,-120.0,-4.0,29.0,-30.0
110,-50.0,240.0,-70.0,-5.0,30.5,70.0
111,-50.0,272.0,-60.0,-33.0,21.0,20.0
112,-50.0,90.0,-115.0,-6.0,32.0,-30.0
113,-50.0,218.0,-20.0,-7.0,26.5,70.0
114,-50.0,108.0,-105.0,-4.0,24.5,70.0
115,-50.0,200.0,-95.0,-58.0,25.0,-30.0
116,-50.0,212.0,-170.0,-2.0,23.5,-30.0
117,-50.0,152.0,-50.0,-48.0,31.5,20.0
118,-50.0,180.0,-45.0,-15.0,31.5,20.0
119,-50.0,126.0,-105.0,-28.0,28.5,-30.0
120,-50.0,180.0,-20.0,-49.0,26.0,20.0
121,-50.0,106.0,-40.0,0.0,18.0,70.0
122,-50.0,94.0,-60.0,-4.0,26.0,-30.0
123,-50.0,76.0,-60.0,-67.0,27.5,20.0
124,-50.0,122.0,-115.0,-3.0,23.5,20.0
125,-50.0,156.0,-50.0,-36.0,31.0,20.0
126,-50.0,160.0,-50.0,-15.0,25.5,70.0
127,-50.0,214.0,-10.0,-12.0,10.5,20.0
128,-50.0,134.0,-145.0,-28.0,24.5,-30.0
129,-50.0,152.0,-10.0,-38.0,31.0,20.0
130,-50.0,30.0,-30.0,-2.0,21.0,20.0
131,-50.0,90.0,-85.0,-2.0,30.0,20.0
132,-50.0,32.0,-20.0,-8.0,20.0,20.0
133,-50.0,130.0,-80.0,-78.0,35.5,-30.0
134,-50.0,216.0,-60.0,-53.0,28.0,20.0
135,-50.0,256.0,-95.0,-2.0,22.0,-30.0
136,-50.0,282.0,-135.0,-49.0,22.5,70.0
137,-50.0,92.0,-20.0,-46.0,32.0,20.0
138,-50.0,142.0,-270.0,-104.0,36.5,-30.0
139,-50.0,426.0,-10.0,-19.0,30.5,70.0
140,-50.0,124.0,-105.0,-21.0,33.5,70.0
141,-50.0,212.0,-30.0,-49.0,26.5,70.0
142,-50.0,164.0,-55.0,-43.0,36.5,20.0
143,-50.0,224.0,-100.0,-6.0,24.5,-30.0
144,-50.0,86.0,-50.0,-10.0,22.5,20.0
145,-50.0,106.0,-140.0,-31.0,30.5,-30.0
146,-50.0,124.0,-70.0,-8.0,23.5,20.0
147,-50.0,136.0,-35.0,-11.0,23.5,70.0
148,-50.0,226.0,-125.0,-2.0,19.5,20.0
149,-50.0,96.0,-75.0,0.0,22.5,20.0
150,-50.0,226.0,-10.0,-20.0,36.5,70.0
151,-50.0,296.0,-35.0,-56.0,31.0,20.0
152,-50.0,84.0,-70.0,-4.0,20.5,20.0
153,-50.0,116.0,-80.0,-23.0,35.0,-30.0
154,-50.0,244.0,-95.0,-14.0,19.0,-30.0
155,-50.0,62.0,-100.0,-20.0,29.0,20.0
156,-50.0,30.0,-105.0,-48.0,37.0,20.0
157,-50.0,240.0,-80.0,-5.0,34.5,20.0
158,-50.0,186.0,-20.0,-5.0,32.0,70.0
159,-50.0,114.0,-125.0,-9.0,33.0,-30.0
160,-50.0,292.0,-85.0,-34.0,28.0,70.0
161,-50.0,122.0,-40.0,0.0,23.0,20.0
162,-50.0,28.0,-105.0,-16.0,32.0,20.0
163,-50.0,96.0,-30.0,-30.0,26.0,0.0
164,-50.0,62.0,-65.0,-14.0,26.5,20.0
165,-50.0,188.0,-60.0,-15.0,24.0,20.0
166,-50.0,60.0,-30.0,-1.0,23.0,20.0
167,-50.0,124.0,-105.0,-13.0,36.0,-30.0
168,-50.0,132.0,-70.0,-7.0,23.5,70.0
169,-50.0,148.0,-80.0,-7.0,27.0,20.0
170,-50.0,94.0,-80.0,-46.0,25.0,20.0
171,-50.0,184.0,-35.0,-5.0,22.0,20.0
172,-50.0,60.0,-10.0,-8.0,28.5,20.0
173,-50.0,158.0,-150.0,-18.0,26.5,-30.0
174,-50.0,30.0,-95.0,-32.0,26.5,20.0
175,-50.0,178.0,-95.0,-43.0,32.5,70.0
176,-50.0,180.0,-140.0,-48.0,36.0,-30.0
177,-50.0,166.0,-35.0,-14.0,30.0,70.0
178,-50.0,60.0,-165.0,0.0,20.0,-30.0
179,-50.0,30.0,-45.0,-29.0,22.5,20.0
180,-50.0,46.0,-175.0,0.0,23.0,-30.0
181,-50.0,200.0,-105.0,-12.0,30.5,-30.0
182,-50.0,170.0,-165.0,-9.0,27.5,-30.0
183,-50.0,96.0,-140.0,-25.0,23.5,-30.0
184,-50.0,178.0,-190.0,-17.0,28.5,-30.0
185,-50.0,60.0,-115.0,-32.0,31.5,-30.0
186,-50.0,108.0,-105.0,-31.0,24.5,-30.0
187,-50.0,132.0,-80.0,-28.0,24.5,-30.0
188,-50.0,122.0,-65.0,-15.0,38.5,20.0
189,-50.0,282.0,-90.0,0.0,24.0,20.0
190,-50.0,106.0,-70.0,-13.0,33.0,-30.0
191,-50.0,122.0,-75.0,-28.0,30.5,20.0
192,-50.0,126.0,-75.0,-25.0,30.0,20.0
193,-50.0,244.0,-95.0,-3.0,28.5,-30.0
194,-50.0,264.0,-85.0,-16.0,24.0,70.0
195,-50.0,76.0,-65.0,-15.0,26.5,70.0
196,-50.0,30.0,-65.0,-35.0,25.5,20.0
197,-50.0,124.0,-20.0,-25.0,34.0,20.0
198,-50.0,276.0,-65.0,-14.0,22.0,70.0
199,-50.0,138.0,-115.0,-27.0,29.0,-30.0
200,-50.0,174.0,-30.0,-18.0,27.5,20.0
201,-50.0,124.0,-70.0,-3.0,26.0,20.0
202,-50.0,230.0,-155.0,-24.0,30.0,-30.0
203,-50.0,248.0,-45.0,-15.0,23.0,20.0
204,-50.0,122.0,-55.0,-42.0,26.0,20.0
205,-50.0,194.0,-110.0,-12.0,24.0,-30.0
206,-50.0,232.0,-20.0,-43.0,35.0,70.0
207,-50.0,126.0,-30.0,-4.0,33.0,20.0
208,-50.0,214.0,-130.0,-45.0,40.0,-30.0
209,-50.0,124.0,-115.0,-15.0,24.0,-30.0
210,-50.0,242.0,-215.0,-5.0,30.0,-30.0
211,-50.0,152.0,-90.0,-16.0,32.5,-30.0
212,-50.0,278.0,-85.0,-11.0,24.0,-30.0
213,-50.0,290.0,-60.0,-4.0,25.5,70.0
214,-50.0,216.0,0.0,-1.0,25.5,70.0
215,-50.0,184.0,-130.0,-12.0,32.0,-30.0
216,-50.0,30.0,-120.0,-77.0,30.0,20.0
217,-50.0,228.0,-150.0,-20.0,29.0,-30.0
218,-50.0,202.0,-55.0,-28.0,28.5,70.0
219,-50.0,208.0,-55.0,-66.0,37.0,20.0
220,-50.0,236.0,-70.0,0.0,23.5,-30.0
221,-50.0,154.0,-95.0,-38.0,28.0,-30.0
222,-50.0,168.0,-110.0,-66.0,27.0,70.0
223,-50.0,178.0,-50.0,-14.0,20.0,20.0
224,-50.0,144.0,-20.0,-2.0,24.0,20.0
225,-50.0,306.0,-50.0,-9.0,27.0,70.0
226,-50.0,204.0,-65.0,-4.0,23.5,20.0
227,-50.0,118.0,-35.0,-36.0,32.5,20.0
228,-50.0,122.0,-65.0,-56.0,19.5,20.0
229,-50.0,170.0,-80.0,-8.0,24.0,-30.0
230,-50.0,228.0,-85.0,-79.0,31.0,70.0
231,-50.0,60.0,-35.0,-19.0,27.0,20.0
232,-50.0,60.0,-10.0,-16.0,27.5,20.0
233,-50.0,262.0,-20.0,-21.0,31.5,70.0
234,-50.0,232.0,-85.0,-4.0,36.5,20.0
235,-50.0,196.0,-65.0,-5.0,31.5,20.0
236,-50.0,268.0,-75.0,-12.0,24.0,20.0
237,-50.0,250.0,-30.0,-21.0,25.0,70.0
238,-50.0,150.0,-75.0,-2.0,25.5,20.0
239,-50.0,154.0,-95.0,-21.0,32.0,-30.0
240,-50.0,180.0,-90.0,-5.0,29.0,20.0
241,-50.0,164.0,-80.0,-42.0,28.5,70.0
242,-50.0,172.0,-160.0,-3.0,24.5,70.0
243,-50.0,140.0,-60.0,0.0,25.0,70.0
244,-50.0,168.0,-110.0,-8.0,18.0,70.0
245,-50.0,168.0,-95.0,-4.0,31.0,70.0
246,-50.0,148.0,-65.0,-35.0,36.0,20.0
247,-50.0,280.0,-100.0,-4.0,27.5,70.0
248,-50.0,184.0,-30.0,-9.0,28.5,70.0
249,-50.0,136.0,-30.0,-10.0,23.5,70.0
250,-50.0,186.0,-115.0,-3.0,23.5,-30.0
251,-50.0,166.0,-20.0,-96.0,32.0,20.0
252,-50.0,120.0,-95.0,-2.0,28.0,-30.0
253,-50.0,230.0,-20.0,-29.0,29.0,20.0
254,-50.0,124.0,-70.0,0.0,16.0,20.0
255,-50.0,244.0,-135.0,-28.0,29.5,-30.0
256,-50.0,274.0,-55.0,-10.0,22.0,70.0
257,-50.0,130.0,-85.0,-12.0,25.5,70.0
258,-50.0,168.0,-100.0,-34.0,31.0,70.0
259,-50.0,254.0,-45.0,-8.0,28.5,20.0
260,-50.0,140.0,-85.0,-18.0,24.0,70.0
261,-50.0,60.0,-215.0,-33.0,34.0,-30.0
262,-50.0,172.0,-45.0,0.0,14.5,70.0
263,-50.0,202.0,-70.0,-32.0,29.5,20.0
264,-50.0,186.0,-35.0,-13.0,27.0,20.0
265,-50.0,184.0,-65.0,-34.0,24.0,20.0
266,-50.0,212.0,-90.0,-48.0,28.0,20.0
267,-50.0,272.0,-80.0,-19.0,29.0,20.0
268,-50.0,122.0,-60.0,-8.0,19.5,20.0
269,-50.0,120.0,-30.0,-28.0,30.5,20.0
270,-50.0,236.0,-110.0,-20.0,28.5,-30.0
271,-50.0,162.0,-70.0,0.0,25.0,70.0
272,-50.0,150.0,-90.0,-24.0,30.0,-30.0
273,-50.0,320.0,-105.0,-13.0,33.0,-30.0
274,-50.0,54.0,-235.0,-61.0,30.0,-30.0
275,-50.0,60.0,-55.0,-6.0,25.5,20.0
276,-50.0,106.0,-30.0,-18.0,22.5,20.0
277,-50.0,214.0,-70.0,-8.0,31.5,20.0
278,-50.0,62.0,-100.0,-34.0,25.0,20.0
279,-50.0,166.0,-65.0,-19.0,31.5,70.0
280,-50.0,230.0,-60.0,-26.0,30.5,70.0
281,-50.0,220.0,-10.0,-41.0,28.5,20.0
282,-50.0,230.0,-20.0,-1.0,27.5,70.0
283,-50.0,122.0,-70.0,-26.0,25.0,20.0
284,-50.0,166.0,-120.0,-2.0,21.5,-30.0
285,-50.0,128.0,-140.0,0.0,15.0,-30.0
286,-50.0,86.0,-45.0,-23.0,24.5,20.0
287,-50.0,94.0,-45.0,-2.0,26.5,20.0
288,-50.0,152.0,-45.0,-30.0,20.5,20.0
289,-50.0,122.0,-140.0,-69.0,33.0,-30.0
290,-50.0,152.0,-95.0,-22.0,22.0,-30.0
291,-50.0,30.0,-90.0,-22.0,23.5,20.0
292,-50.0,94.0,-95.0,-16.0,34.5,-30.0
293,-50.0,30.0,-80.0,-69.0,26.0,20.0
294,-50.0,260.0,-105.0,-39.0,25.5,-30.0
295,-50.0,120.0,-40.0,-16.0,25.5,20.0
296,-50.0,124.0,-185.0,-4.0,16.0,-30.0
297,-50.0,152.0,-70.0,-21.0,32.5,-30.0
298,-50.0,172.0,-170.0,0.0,26.0,-30.0
299,-50.0,190.0,-80.0,-31.0,32.0,-30.0
300,-50.0,214.0,-85.0,-71.0,29.5,70.0
301,-50.0,178.0,-35.0,-10.0,27.5,20.0
302,-50.0,312.0,-80.0,-9.0,28.5,70.0
303,-50.0,120.0,-100.0,-16.0,30.5,-30.0
304,-50.0,202.0,-100.0,-12.0,26.0,20.0
305,-50.0,122.0,-45.0,-3.0,23.5,20.0
306,-50.0,166.0,-150.0,-20.0,23.0,-30.0
307,-50.0,182.0,-10.0,-12.0,20.5,20.0
308,-50.0,148.0,-60.0,-17.0,23.0,-30.0
309,-50.0,324.0,-115.0,-14.0,33.5,-30.0
310,-50.0,226.0,-110.0,-30.0,26.5,-30.0
311,-50.0,30.0,-80.0,-8.0,23.5,20.0
312,-50.0,308.0,-105.0,-12.0,26.0,-30.0
313,-50.0,140.0,-10.0,-18.0,26.5,70.0
314,-50.0,240.0,-165.0,-20.0,25.5,-30.0
315,-50.0,120.0,-90.0,-15.0,25.0,20.0
316,-50.0,92.0,-60.0,-67.0,21.0,20.0
317,-50.0,140.0,-50.0,-40.0,32.0,20.0
318,-50.0,176.0,-105.0,-31.0,26.5,-30.0
319,-50.0,76.0,-70.0,-38.0,34.5,70.0
320,-50.0,110.0,-105.0,-26.0,25.0,70.0
321,-50.0,248.0,-50.0,-38.0,27.5,70.0
322,-50.0,226.0,-10.0,-44.0,37.0,70.0
323,-50.0,288.0,-235.0,-8.0,31.0,-30.0
324,-50.0,200.0,-130.0,-16.0,29.5,-30.0
325,-50.0,138.0,-35.0,-11.0,28.5,70.0
326,-50.0,106.0,-145.0,-33.0,30.5,-30.0
327,-50.0,332.0,-25.0,-27.0,27.5,70.0
328,-50.0,164.0,-65.0,-12.0,28.5,20.0
329,-50.0,168.0,-60.0,-3.0,32.5,20.0
